accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
-0.0184,0.0127,-0.0053,0.0038,-0.0145,0.0019,0.0007,0.0005,0.0,0.0153,0.0,8
-0.0146,0.0096,-0.0025,0.0002,-0.0205,0.0047,0.0005,0.0006,0.0,0.0118,0.0,8
-0.0058,-0.0015,-0.0049,-0.0054,-0.0201,0.0047,0.0007,0.0005,0.0,0.0052,0.0,8
-0.0098,-0.0002,-0.0124,-0.0011,-0.0193,0.0025,0.0004,0.0007,0.0,0.0105,0.0,8
-0.013,0.0037,-0.012,-0.0021,-0.0195,0.0052,0.0008,0.0005,0.0,0.0121,0.0,8
-0.0093,-0.0006,-0.0203,-0.0025,-0.0197,0.0067,0.0004,0.0007,0.0,0.0149,0.0,8
-0.0049,-0.0048,-0.0151,-0.0044,-0.0133,0.0062,0.0008,0.0004,0.0,0.011,0.0,8
-0.0095,-0.0034,-0.0058,-0.0021,-0.0094,0.0065,0.0003,0.0007,0.0,0.0077,0.0,8
-0.0008,-0.0017,0.0089,-0.0053,-0.0018,0.0076,0.0007,0.0004,0.0,0.006,0.0,8
-0.0046,-0.0109,0.0376,-0.0003,0.0157,0.0033,0.0003,0.0007,0.0,0.0263,0.0,8
-0.0278,0.0019,0.0734,0.0183,0.0188,0.0083,0.0008,0.0004,0.0,0.0524,0.0,8
-0.0422,0.0701,0.1943,0.0401,0.0339,0.0361,0.0003,0.0007,0.0,0.1405,0.0,8
-0.1486,0.175,0.3836,0.0251,0.0276,0.098,0.0008,0.0004,0.0,0.298,0.0,8
-0.3531,0.2892,0.5832,0.0055,-0.0361,0.1416,0.0003,0.0007,0.0,0.4937,0.0,8
-0.6091,0.4029,0.7871,0.0264,-0.1636,0.2068,0.0007,0.0004,0.0,0.7158,0.0,8
-0.8231,0.3906,0.914,0.0787,-0.5209,0.3373,0.0002,0.0006,0.0,0.8603,0.0,8
-0.8231,-0.0665,0.3712,0.2573,-1.0,0.4899,0.0007,0.0004,0.0,0.6036,0.0,8
-0.8215,-0.429,-0.5372,0.5304,-1.0,0.6062,0.0003,0.0006,0.0,0.7141,0.0,8
-0.5819,-0.0645,-1.0,0.401,-1.0,0.6841,0.0007,0.0003,0.0,0.7725,0.0,8
-0.2132,-0.1417,-0.8633,-0.2615,-0.6701,0.5475,0.0003,0.0006,0.0,0.6003,0.0,8
-0.0936,-0.4567,-1.0,-0.4446,-0.4503,0.2433,0.0007,0.0004,0.0,0.7356,0.0,8
0.1196,-0.8579,-1.0,-0.0853,-0.5608,0.2136,0.0003,0.0006,0.0,0.882,0.0,8
