accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
0.097,0.0154,-0.0263,0.0018,-0.0069,-0.0377,0.0004,0.0002,0.0,0.0678,0.0,2
0.0787,0.0193,-0.0133,0.0001,-0.0009,-0.041,0.0002,0.0003,0.0,0.0547,0.0,2
0.0652,0.0354,-0.0103,0.0033,-0.004,-0.0334,0.0005,0.0001,0.0,0.05,0.0,2
0.0712,0.0407,-0.003,0.0023,-0.0019,-0.0285,0.0001,0.0003,0.0,0.0547,0.0,2
0.0706,0.044,0.0051,0.001,0.0012,-0.0246,0.0005,0.0001,0.0,0.0556,0.0,2
0.0674,0.0368,0.0111,0.0085,-0.0028,-0.0141,0.0001,0.0003,0.0,0.0517,0.0,2
0.0867,0.0415,-0.0092,0.0059,-0.0135,-0.0072,0.0005,0.0001,0.0,0.0644,0.0,2
0.1006,0.0185,-0.0218,-0.0008,-0.0137,-0.0115,0.0,0.0003,0.0,0.0697,0.0,2
0.0935,0.0192,-0.0212,0.0037,-0.0043,-0.0156,0.0005,0.0001,0.0,0.0652,0.0,2
0.0769,0.0353,-0.0187,-0.0015,-0.0084,-0.0148,0.0001,0.0004,0.0,0.0578,0.0,2
0.0924,0.0226,-0.0268,-0.0064,-0.0074,-0.0166,0.0006,0.0001,0.0,0.0659,0.0,2
0.0887,0.0249,-0.0243,0.0007,0.0029,-0.0167,0.0,0.0003,0.0,0.0635,0.0,2
0.0901,0.0285,-0.038,-0.0029,-0.0061,-0.0177,0.0006,0.0001,0.0,0.0679,0.0,2
0.1029,0.0108,-0.0362,0.0014,0.0092,-0.0217,0.0,0.0004,0.0,0.0731,0.0,2
0.0539,0.0219,-0.0317,0.0248,-0.0288,-0.0392,0.0006,0.7702,0.0,0.0441,0.0,2
0.0892,0.0489,0.0379,0.0171,-0.0411,-0.0505,0.0,1.0,0.0,0.0723,0.0,2
0.0896,0.0165,-0.021,0.0095,-0.016,-0.0331,0.0005,1.0,0.0,0.0624,0.0,2
0.1006,0.0446,-0.028,-0.0157,0.0129,-0.0216,0.0,1.0,0.0,0.0757,0.0,2
0.0606,0.0252,-0.0058,-0.0291,-0.0012,-0.0156,0.0006,1.0,0.0,0.0439,0.0,2
0.0308,0.0216,0.0147,-0.0239,-0.0297,-0.0049,0.0,1.0,0.0,0.0269,0.0,2
0.1203,0.0579,-0.006,-0.0208,-0.0508,0.0139,0.0006,0.8095,0.0,0.0891,0.0,2
0.1347,0.0257,-0.0208,-0.0115,-0.02,0.0021,0.0,0.421,0.0,0.0925,0.0,2
0.1291,0.0225,-0.0199,0.0021,-0.0023,-0.0192,0.0006,0.0002,0.0,0.0883,0.0,2
0.1018,0.0193,-0.0241,0.0227,0.0041,-0.0177,0.0,0.0003,0.0,0.071,0.0,2
0.1215,0.0354,-0.0375,0.0043,0.007,-0.0147,0.0005,0.0002,0.0,0.088,0.0,2
0.1292,0.0083,-0.0419,-0.0073,0.0139,-0.0163,0.0001,0.0003,0.0,0.0907,0.0,2
0.1217,0.0003,-0.0409,-0.0018,0.0244,-0.0213,0.0005,0.0002,0.0,0.0856,0.0,2
0.0849,0.0116,-0.024,0.0034,0.0141,-0.0257,0.0001,0.0003,0.0,0.0593,0.0,2
0.1009,0.0172,-0.0323,-0.0093,-0.0046,-0.0295,0.0005,0.0002,0.0,0.0715,0.0,2
0.1093,0.0092,-0.0247,0.0003,0.01,-0.0316,0.0001,0.0002,0.0,0.075,0.0,2
0.1347,0.0257,-0.0208,-0.0115,-0.02,0.0021,0.0,0.421,0.0,0.0925,1.0,2
0.1291,0.0225,-0.0199,0.0021,-0.0023,-0.0192,0.0006,0.0002,0.0,0.0883,1.0,2
0.1018,0.0193,-0.0241,0.0227,0.0041,-0.0177,0.0,0.0003,0.0,0.071,1.0,2
0.1215,0.0354,-0.0375,0.0043,0.007,-0.0147,0.0005,0.0002,0.0,0.088,1.0,2
0.1292,0.0083,-0.0419,-0.0073,0.0139,-0.0163,0.0001,0.0003,0.0,0.0907,1.0,2
0.1217,0.0003,-0.0409,-0.0018,0.0244,-0.0213,0.0005,0.0002,0.0,0.0856,1.0,2
0.0849,0.0116,-0.024,0.0034,0.0141,-0.0257,0.0001,0.0003,0.0,0.0593,1.0,2
0.1009,0.0172,-0.0323,-0.0093,-0.0046,-0.0295,0.0005,0.0002,0.0,0.0715,1.0,2
0.1093,0.0092,-0.0247,0.0003,0.01,-0.0316,0.0001,0.0002,0.0,0.075,1.0,2
0.1,0.0131,-0.0144,-0.0062,0.0028,-0.0252,0.0006,0.0002,0.0,0.0679,1.0,2
0.0998,0.011,-0.0133,-0.0027,0.0066,-0.0238,0.0001,0.0004,0.0,0.0675,1.0,2
0.0973,0.008,-0.011,0.0018,-0.0053,-0.0231,0.0006,0.0002,0.0,0.0655,1.0,2
0.1186,0.0186,-0.018,-0.0035,-0.0045,-0.0243,0.0,0.0006,0.0,0.0809,1.0,2
0.1392,0.0255,-0.0286,-0.0043,0.0206,-0.0374,0.0006,0.3253,0.0,0.0963,1.0,2
0.106,0.0105,-0.0038,0.0095,0.0598,-0.0513,0.0,1.0,0.0,0.0711,1.0,2
0.0435,0.0531,-0.0015,0.0232,0.0408,-0.0152,0.0006,1.0,0.0,0.0458,1.0,2
0.0611,0.0309,-0.049,0.0012,0.0429,-0.0068,0.0,1.0,0.0,0.0561,1.0,2
-0.0532,-0.0294,-0.0245,0.0297,-0.041,-0.0136,0.0006,1.0,0.0,0.0437,1.0,2
0.0701,0.0345,-0.0225,0.0585,-0.1308,-0.0073,0.0,0.9882,0.0,0.0542,1.0,2
0.2006,0.0661,-0.0534,0.0243,-0.0778,-0.0034,0.0006,0.5355,0.0,0.1452,1.0,2
0.1463,0.0429,-0.0367,-0.0155,-0.0062,-0.0184,0.0,0.0162,0.0,0.1045,1.0,2
0.125,0.0144,-0.0214,-0.0135,0.0038,-0.017,0.0006,0.0002,0.0,0.0851,1.0,2
0.1214,0.0266,-0.0336,-0.0069,0.0296,-0.0169,0.0,0.0003,0.0,0.0858,1.0,2
0.1016,0.0262,-0.0323,-0.0221,0.0364,-0.0164,0.0005,0.0003,0.0,0.0732,1.0,2
0.0959,0.0059,-0.0303,-0.0204,0.0345,-0.0197,0.0,0.0003,0.0,0.0671,1.0,2
0.0852,0.0022,-0.0256,-0.01,0.0246,-0.023,0.0005,0.0003,0.0,0.0593,1.0,2
0.0917,0.0021,-0.0157,-0.006,0.0066,-0.0254,0.0001,0.0003,0.0,0.062,1.0,2
0.1077,0.0027,-0.0124,-0.0018,0.0084,-0.0286,0.0004,0.0003,0.0,0.0723,1.0,2
0.0889,0.0022,0.0006,-0.0007,0.0061,-0.0354,0.0001,0.0003,0.0,0.0593,1.0,2
0.0942,0.0077,0.0008,-0.0009,-0.0094,-0.0398,0.0004,0.0003,0.0,0.063,1.0,2
-0.0532,-0.0294,-0.0245,0.0297,-0.041,-0.0136,0.0006,1.0,0.0,0.0437,2.0,2
0.0701,0.0345,-0.0225,0.0585,-0.1308,-0.0073,0.0,0.9882,0.0,0.0542,2.0,2
0.2006,0.0661,-0.0534,0.0243,-0.0778,-0.0034,0.0006,0.5355,0.0,0.1452,2.0,2
0.1463,0.0429,-0.0367,-0.0155,-0.0062,-0.0184,0.0,0.0162,0.0,0.1045,2.0,2
0.125,0.0144,-0.0214,-0.0135,0.0038,-0.017,0.0006,0.0002,0.0,0.0851,2.0,2
0.1214,0.0266,-0.0336,-0.0069,0.0296,-0.0169,0.0,0.0003,0.0,0.0858,2.0,2
0.1016,0.0262,-0.0323,-0.0221,0.0364,-0.0164,0.0005,0.0003,0.0,0.0732,2.0,2
0.0959,0.0059,-0.0303,-0.0204,0.0345,-0.0197,0.0,0.0003,0.0,0.0671,2.0,2
0.0852,0.0022,-0.0256,-0.01,0.0246,-0.023,0.0005,0.0003,0.0,0.0593,2.0,2
0.0917,0.0021,-0.0157,-0.006,0.0066,-0.0254,0.0001,0.0003,0.0,0.062,2.0,2
0.1077,0.0027,-0.0124,-0.0018,0.0084,-0.0286,0.0004,0.0003,0.0,0.0723,2.0,2
0.0889,0.0022,0.0006,-0.0007,0.0061,-0.0354,0.0001,0.0003,0.0,0.0593,2.0,2
0.0942,0.0077,0.0008,-0.0009,-0.0094,-0.0398,0.0004,0.0003,0.0,0.063,2.0,2
0.1242,0.0266,-0.0531,0.0001,-0.0078,-0.0284,0.0,0.4023,0.0,0.0918,2.0,2
0.0874,0.0371,-0.0257,0.0167,-0.0126,-0.0256,0.0006,1.0,0.0,0.0656,2.0,2
0.1545,0.049,-0.0479,0.0036,0.043,-0.0116,0.0,1.0,0.0,0.1126,2.0,2
0.0773,0.0033,-0.0805,0.0069,0.1129,0.0186,0.0006,1.0,0.0,0.0744,2.0,2
0.0407,0.0209,-0.0918,-0.006,0.0654,0.0174,0.0,1.0,0.0,0.0684,2.0,2
0.0202,-0.0064,-0.0545,0.0083,-0.0442,-0.002,0.0006,1.0,0.0,0.039,2.0,2
0.0575,0.0183,-0.0413,0.0198,-0.0873,0.0005,0.0,1.0,0.0,0.0488,2.0,2
0.1601,0.0672,-0.0478,0.0092,-0.0576,0.0077,0.0007,0.9618,0.0,0.12,2.0,2
