accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
0.083,-0.0007,-0.0085,0.0033,-0.0176,-0.0273,0.0001,0.0004,0.0,0.0556,0.0,3
0.1018,0.0049,-0.0233,0.008,-0.024,-0.0261,0.0005,0.0002,0.0,0.0697,0.0,3
0.1049,0.011,-0.0294,-0.0021,-0.0138,-0.0269,0.0001,0.0004,0.0,0.073,0.0,3
0.0892,0.0046,-0.0226,-0.0034,-0.0209,-0.0245,0.0004,0.0002,0.0,0.0614,0.0,3
0.1047,0.0044,-0.0192,0.0071,-0.0182,-0.0243,0.0001,0.0004,0.0,0.071,0.0,3
0.0921,0.0059,-0.0187,0.0112,-0.011,-0.0256,0.0005,0.0002,0.0,0.0628,0.0,3
0.0926,0.0088,-0.0234,-0.0002,-0.0166,-0.0264,0.0001,0.0004,0.0,0.064,0.0,3
0.0968,-0.0136,-0.0211,-0.0018,-0.0135,-0.0252,0.0005,0.0002,0.0,0.0666,0.0,3
0.1087,-0.0023,-0.0164,0.0179,-0.025,-0.0254,0.0001,0.0003,0.0,0.0733,0.0,3
0.1207,0.0071,-0.0286,0.0146,-0.0112,-0.0299,0.0005,0.0002,0.0,0.0828,0.0,3
0.0946,0.0044,-0.0206,0.0067,-0.0272,-0.0301,0.0001,0.0004,0.0,0.0646,0.0,3
0.1063,-0.0018,-0.0242,0.0109,-0.03,-0.0323,0.0005,0.0002,0.0,0.0727,0.0,3
0.1222,0.0157,-0.0054,0.0186,-0.0308,-0.0391,0.0001,0.0003,0.0,0.0822,0.0,3
0.1311,0.0011,-0.001,0.0468,0.0152,-0.0439,0.0004,0.0002,0.3967,0.0874,0.0,3
0.2472,0.2496,-0.257,0.0945,0.0507,-0.1054,0.0001,0.0002,0.9833,0.2902,0.0,3
0.1432,0.1091,-0.0244,0.0272,0.0313,-0.041,0.0004,0.0001,1.0,0.1211,0.0,3
-0.088,0.0671,0.0147,0.0365,-0.0398,-0.0071,0.0001,0.0007,1.0,0.0745,0.0,3
0.2536,0.0577,-0.0746,-0.0042,-0.0232,-0.0166,0.0004,0.0683,1.0,0.1804,0.0,3
0.1073,0.0371,-0.1,-0.0158,0.0663,-0.0371,0.0001,0.1514,1.0,0.1008,0.0,3
0.0644,0.0377,-0.0649,-0.0246,-0.0153,-0.0131,0.0004,0.027,1.0,0.066,0.0,3
0.0232,0.0084,-0.0492,-0.0236,-0.0507,-0.0056,0.0002,0.0006,1.0,0.0367,0.0,3
0.0735,0.0256,-0.0333,-0.0082,-0.078,-0.0043,0.0004,0.0002,0.7467,0.0564,0.0,3
0.1198,0.0272,-0.0198,-0.0193,-0.0588,-0.0139,0.0002,0.0002,0.0,0.083,0.0,3
0.1464,0.0072,-0.0439,-0.0331,-0.0143,-0.019,0.0003,0.0002,0.0,0.102,0.0,3
0.1607,0.0194,-0.019,-0.0494,-0.0153,-0.033,0.0002,0.0002,0.0,0.1087,0.0,3
0.1709,0.0069,-0.0206,-0.0824,0.0564,-0.0322,0.0003,0.0002,0.0,0.1148,0.0,3
0.0765,-0.0468,-0.0115,-0.0253,0.0291,-0.0264,0.0003,0.0002,0.0,0.0603,0.0,3
0.081,0.0185,0.0062,0.0305,-0.0105,-0.0153,0.0002,0.0002,0.0,0.0556,0.0,3
0.102,0.0476,-0.0072,-0.0026,-0.0052,-0.013,0.0003,0.0003,0.0,0.0752,0.0,3
0.1018,-0.0029,-0.0341,-0.022,0.0117,-0.0095,0.0003,0.0003,0.0,0.0716,0.0,3
0.102,0.0476,-0.0072,-0.0026,-0.0052,-0.013,0.0003,0.0003,0.0,0.0752,1.0,3
0.1018,-0.0029,-0.0341,-0.022,0.0117,-0.0095,0.0003,0.0003,0.0,0.0716,1.0,3
0.0935,-0.0053,-0.0005,0.0106,-0.0144,0.0006,0.0001,0.0003,0.0,0.0624,1.0,3
0.1026,-0.0159,-0.0127,0.0201,-0.0267,0.0008,0.0005,0.0002,0.0,0.0697,1.0,3
0.1261,-0.015,-0.0439,0.032,-0.0272,-0.0002,0.0001,0.0003,0.0,0.0896,1.0,3
0.1208,0.0019,-0.0459,0.0321,-0.0235,-0.0027,0.0005,0.0002,0.0,0.0862,1.0,3
0.1309,0.0049,-0.0613,0.0201,-0.0326,-0.0036,0.0001,0.0003,0.0,0.0964,1.0,3
0.1505,0.0128,-0.0558,0.0134,-0.0243,-0.0056,0.0005,0.0002,0.0,0.1073,1.0,3
0.1549,0.0159,-0.0491,0.0165,-0.0149,-0.0056,0.0001,0.0003,0.0,0.1088,1.0,3
0.1363,0.022,-0.0404,0.0135,-0.0111,-0.0084,0.0005,0.0002,0.0,0.0959,1.0,3
0.1508,0.0094,-0.046,0.0214,-0.0124,-0.0023,0.0002,0.0003,0.0,0.1053,1.0,3
0.1584,0.0283,-0.0422,0.0146,-0.019,0.0012,0.0005,0.0002,0.0,0.1109,1.0,3
0.2038,-0.0057,-0.0515,0.0059,0.0093,-0.0056,0.0002,0.0003,0.0,0.1402,1.0,3
0.1654,-0.027,-0.0358,0.031,0.0416,-0.0223,0.0004,0.0002,0.3733,0.1142,1.0,3
0.1739,0.0182,-0.0298,0.0652,0.0321,-0.0329,0.0002,0.0004,1.0,0.1183,1.0,3
0.049,0.1323,-0.0723,0.027,0.0478,-0.0092,0.0004,0.0363,1.0,0.1057,1.0,3
0.1623,0.0183,-0.0933,-0.0511,0.0436,-0.0173,0.0002,0.1622,1.0,0.1254,1.0,3
0.0957,-0.0272,-0.0907,-0.0144,0.0607,-0.0207,0.0004,0.1097,1.0,0.0897,1.0,3
0.1095,0.0454,-0.0366,-0.0312,-0.0854,0.0019,0.0003,0.0343,1.0,0.0827,1.0,3
0.1154,-0.0066,-0.0426,-0.0566,-0.0851,-0.0087,0.0003,0.0004,1.0,0.0822,1.0,3
0.156,-0.0194,-0.027,-0.0272,-0.0593,-0.0169,0.0003,0.0002,1.0,0.1063,1.0,3
0.161,0.0082,-0.0243,0.0039,-0.0499,-0.0178,0.0003,0.0002,0.4467,0.1087,1.0,3
0.1513,0.0192,-0.0658,-0.0053,-0.0654,-0.0226,0.0003,0.0002,0.0,0.1107,1.0,3
0.2118,0.0298,-0.0686,-0.0444,-0.0517,-0.0291,0.0003,0.0003,0.0,0.1497,1.0,3
0.2176,-0.0192,-0.063,-0.0675,0.0251,-0.0336,0.0004,0.0002,0.0,0.1516,1.0,3
0.1732,-0.0394,-0.0403,-0.0331,0.037,-0.0256,0.0002,0.0003,0.0,0.1214,1.0,3
0.143,-0.0025,-0.0222,-0.0046,0.0373,-0.0302,0.0004,0.0002,0.0,0.0965,1.0,3
0.1229,0.0109,-0.0132,-0.0382,0.0133,-0.0356,0.0002,0.0003,0.0,0.0827,1.0,3
0.1208,-0.017,0.0038,-0.0434,0.0008,-0.033,0.0004,0.0002,0.0,0.0814,1.0,3
