accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
-0.021,0.0956,-0.0383,0.0696,-0.1031,-0.0333,0.0,0.0,0.0,0.0701,139.0,0
-0.0083,0.0743,-0.0434,-0.0064,-0.047,0.0073,0.0,0.0,0.0,0.0576,139.0,0
0.0084,0.0174,-0.0272,0.0019,0.0022,0.0211,0.0,0.0,0.0,0.0222,139.0,0
-0.0135,0.024,-0.0334,-0.0064,0.0224,0.0067,0.0,0.0,0.0,0.0289,139.0,0
-0.0696,0.0196,-0.0003,-0.0224,0.0187,-0.0002,0.0,0.0,0.0,0.0482,139.0,0
-0.0198,0.0049,0.0037,-0.0082,-0.0073,0.01,0.0,0.0,0.0,0.0138,139.0,0
-0.0039,0.0199,-0.0005,0.0022,-0.0072,0.0141,0.0,0.0,0.0,0.0136,139.0,0
0.0131,0.0148,0.0028,-0.0134,-0.0113,0.0159,0.0,0.0,0.0,0.0133,139.0,0
-0.0179,-0.0156,0.003,0.0103,-0.0189,0.0121,0.0,0.0,0.0,0.016,139.0,0
-0.0028,0.029,0.0045,0.0023,-0.0237,-0.0039,0.0,0.0,0.0,0.0196,139.0,0
0.0063,0.0151,-0.0301,0.0012,-0.0096,-0.0016,0.0,0.0,0.0,0.0228,139.0,0
-0.0201,0.0181,-0.0135,0.0012,-0.0107,-0.0043,0.0,0.0,0.0,0.0202,139.0,0
0.0045,0.0175,-0.0136,-0.0033,-0.01,-0.002,0.0,0.0,0.0,0.0151,139.0,0
-0.0229,0.0263,0.0164,-0.0024,-0.0151,0.0038,0.0,0.0,0.0,0.0257,139.0,0
0.0066,0.0084,-0.0059,0.0069,-0.0142,0.0086,0.0,0.0,0.0,0.0081,139.0,0
0.0032,0.0086,-0.0274,0.0056,-0.0078,0.0066,0.0,0.0,0.0,0.0193,139.0,0
-0.0187,0.0232,-0.0024,0.0012,-0.0081,0.0019,0.0,0.0,0.0,0.0199,139.0,0
-0.0391,0.0069,-0.0027,0.0198,-0.0229,0.0164,0.0,0.0,0.0,0.0265,139.0,0
0.0242,0.0175,-0.0349,0.0176,-0.0378,0.0025,0.0,0.0,0.0,0.0306,139.0,0
0.0242,0.0468,-0.0014,0.009,-0.0255,-0.0016,0.0,0.0,0.0,0.0351,139.0,0
