accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
0.0187,0.0145,-0.0215,-0.0045,0.0024,0.0162,0.0001,0.0004,0.0,0.0213,0.0,6
0.0003,0.0098,-0.0051,0.0065,0.0163,0.0137,0.0005,0.0002,0.0,0.0074,0.0,6
-0.0216,0.0331,0.0107,0.0055,-0.0026,0.0216,0.0,0.0004,0.0,0.0273,0.0,6
0.0125,-0.0021,-0.0151,-0.0061,-0.0082,0.0241,0.0005,0.0001,0.0,0.0131,0.0,6
0.0142,-0.0018,-0.0267,0.0168,-0.0038,0.0172,0.0,0.0004,0.0,0.0202,0.0,6
-0.0095,0.0187,-0.0147,0.0121,-0.0099,0.0201,0.0005,0.0001,0.0,0.0171,0.0,6
0.0062,0.0307,-0.0074,-0.0067,-0.0298,0.0136,0.0,0.0005,0.0,0.0215,0.0,6
0.028,0.0081,-0.0159,0.0064,-0.0153,0.0189,0.0006,0.0001,0.0,0.0221,0.0,6
0.0016,0.0202,-0.0009,0.0123,-0.0119,0.0259,0.0,0.0004,0.0,0.0135,0.0,6
0.0217,0.0185,-0.0024,0.0078,-0.0201,0.0299,0.0005,0.0001,0.0,0.0191,0.0,6
0.1532,0.0047,-0.0203,-0.0166,0.0478,0.0133,0.0,0.0004,0.0,0.1031,0.0,6
-0.006,-0.0456,0.0143,-0.0054,0.1078,-0.0008,0.0006,0.0,0.0,0.0321,0.0,6
-0.102,0.023,0.0631,0.0569,-0.012,0.0257,0.0,0.0008,0.0,0.0814,0.0,6
0.1199,0.1149,0.0808,0.0149,0.0093,0.0402,0.0006,0.3686,0.0867,0.1231,0.0,6
0.0343,0.0348,0.0206,0.0033,0.1578,0.0956,0.0,1.0,0.9567,0.0354,0.0,6
-0.2433,-0.0086,-0.0351,0.0071,0.0051,0.1209,0.0006,1.0,1.0,0.164,0.0,6
0.179,-0.0179,-0.1922,-0.0191,0.0708,0.0954,0.0,1.0,1.0,0.1755,0.0,6
0.5702,0.1124,-0.2473,-0.0133,0.145,-0.0251,0.0006,1.0,1.0,0.421,0.0,6
0.9048,0.2027,-0.1269,-0.1142,0.2708,0.0125,0.0001,1.0,1.0,0.6239,0.0,6
0.7327,-0.1041,-0.0502,-0.1667,0.0651,0.0863,0.0005,1.0,1.0,0.4945,0.0,6
0.8399,-0.4536,-0.1409,-0.2637,0.2359,0.0369,0.0001,1.0,1.0,0.6432,0.0,6
-0.8596,-0.7462,0.1011,-0.0002,0.4092,-0.1688,0.0005,1.0,1.0,0.7618,0.0,6
-1.0,0.3278,0.0373,0.2608,0.1841,-0.4475,0.0002,1.0,1.0,0.702,0.0,6
-1.0,0.6961,-0.1619,-0.024,0.0994,-0.1692,0.0005,1.0,1.0,0.8194,0.0,6
-0.76,0.0272,-0.1989,-0.3055,0.0214,0.1386,0.0002,1.0,1.0,0.524,0.0,6
-0.4397,-0.6177,-0.1636,-0.2446,-0.1156,0.1913,0.0005,1.0,1.0,0.5171,0.0,6
-0.3275,-0.6524,-0.0707,0.0413,-0.122,0.0528,0.0002,1.0,1.0,0.4889,0.0,6
-0.4436,-0.1807,0.0002,0.1864,-0.1114,0.0052,0.0004,1.0,1.0,0.3193,0.0,6
-0.4753,0.0178,0.0284,0.1807,-0.1871,0.0628,0.0001,1.0,1.0,0.3177,0.0,6
-0.2639,0.0132,-0.0565,0.1529,-0.2387,0.0399,0.0004,1.0,1.0,0.1801,0.0,6
0.2122,-0.0333,-0.0545,0.0093,-0.0289,-0.0372,0.0006,0.0001,0.0,0.1477,1.0,6
0.1173,0.0723,-0.012,0.0336,-0.0394,-0.0418,0.0,0.0004,0.0,0.0922,1.0,6
0.1229,0.1242,0.0112,0.0078,-0.0435,-0.025,0.0006,0.0001,0.0,0.1167,1.0,6
0.1001,0.0773,-0.0436,0.0218,-0.0253,0.0121,0.0,0.0004,0.0,0.0892,1.0,6
0.0736,0.0662,-0.0529,0.0107,-0.0408,0.0303,0.0006,0.0001,0.0,0.0748,1.0,6
0.1193,0.0386,-0.041,-0.0071,-0.0142,0.0281,0.0,0.0003,0.0,0.0879,1.0,6
0.1007,0.0087,-0.0483,0.0102,0.0267,0.027,0.0006,0.0001,0.0,0.0747,1.0,6
0.066,-0.001,-0.0423,0.0097,0.0024,0.0242,0.0,0.0004,0.0,0.0523,1.0,6
0.1093,0.0212,-0.0368,0.0015,0.0038,0.0134,0.0005,0.0001,0.0,0.0781,1.0,6
0.105,0.0242,-0.0086,0.0117,0.0223,0.0144,0.0,0.0004,0.0,0.0721,1.0,6
0.0612,0.0385,-0.024,0.0323,-0.013,0.0208,0.0006,0.0002,0.0,0.0508,1.0,6
0.202,0.0538,-0.0328,0.0124,-0.0049,0.0177,0.0,0.0004,0.0,0.1411,1.0,6
0.371,0.0484,-0.0119,0.0145,0.0847,-0.016,0.0005,0.0001,0.0,0.2495,1.0,6
0.5256,0.1147,-0.1116,0.0091,0.2137,-0.058,0.0,0.0988,0.0,0.3663,1.0,6
0.9862,0.1556,-0.1923,-0.0951,0.5113,0.0228,0.0005,0.558,0.8233,0.6778,1.0,6
0.2138,-0.0474,-0.1397,-0.0783,0.3898,0.0888,0.0,1.0,1.0,0.1732,1.0,6
0.6426,-0.0176,0.0356,-0.0504,0.1041,0.0603,0.0006,1.0,1.0,0.4292,1.0,6
0.3479,-0.1129,-0.0962,-0.1738,0.0011,0.0448,0.0002,1.0,1.0,0.2521,1.0,6
0.1589,-0.2531,-0.2984,-0.1446,0.2562,-0.1467,0.0005,1.0,1.0,0.2816,1.0,6
-0.7854,-0.2683,-0.192,0.017,0.3821,-0.1444,0.0002,1.0,1.0,0.5679,1.0,6
-1.0,-0.0173,-0.1091,-0.0469,0.2258,-0.3267,0.0005,1.0,1.0,0.6707,1.0,6
-0.9333,-0.0014,-0.0856,0.0296,0.2204,-0.2994,0.0002,1.0,1.0,0.6248,1.0,6
-0.7554,0.3178,-0.0729,0.0219,0.0522,-0.069,0.0005,1.0,1.0,0.5485,1.0,6
-0.5336,0.0982,-0.1229,-0.1357,-0.0784,0.1199,0.0002,1.0,1.0,0.3708,1.0,6
-0.504,-0.3232,-0.0942,-0.1364,-0.1021,0.1902,0.0004,1.0,1.0,0.4041,1.0,6
-0.65,-0.3748,-0.0572,0.0128,-0.1704,0.1664,0.0003,1.0,1.0,0.5017,1.0,6
-0.5837,-0.2161,-0.0663,0.0905,-0.2425,0.1274,0.0003,1.0,1.0,0.4173,1.0,6
-0.3495,-0.1374,-0.0767,0.1118,-0.2849,0.1098,0.0003,1.0,1.0,0.2555,1.0,6
-0.173,-0.0272,-0.0561,0.1288,-0.1415,0.0687,0.0002,1.0,1.0,0.1226,1.0,6
-0.1097,-0.0729,-0.0536,0.1041,-0.1298,0.0859,0.0003,1.0,1.0,0.0948,1.0,6
0.3224,0.0847,-0.0514,-0.0355,-0.0281,-0.0085,0.0007,0.0002,0.0,0.2248,2.0,6
0.2116,0.02,-0.0379,-0.0525,0.0598,-0.0163,0.0,0.0005,0.0,0.1439,2.0,6
0.0475,0.0801,0.0434,0.0169,-0.0127,0.014,0.0006,0.0002,0.0,0.0685,2.0,6
0.0603,0.128,0.0497,-0.0012,-0.027,0.0027,0.0,0.0005,0.0,0.1,2.0,6
0.025,0.0597,-0.0152,0.0141,-0.0075,0.0143,0.0006,0.0002,0.0,0.0444,2.0,6
-0.0069,0.0493,-0.0297,0.0204,-0.0173,0.027,0.0,0.0005,0.0,0.0386,2.0,6
0.052,0.0136,-0.0267,0.0075,-0.0117,0.0176,0.0005,0.0002,0.0,0.04,2.0,6
