accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
-0.0254,0.0334,-0.0114,-0.0066,0.0061,-0.0112,0.0002,0.0005,0.0,0.029,0.0,5
-0.0167,0.0371,-0.0053,-0.0033,0.0073,-0.0087,0.0005,0.0004,0.0,0.0274,0.0,5
-0.0139,0.0341,-0.0029,0.002,0.009,-0.0088,0.0002,0.0005,0.0,0.0246,0.0,5
-0.0283,0.0351,0.0036,0.0007,0.0049,-0.0094,0.0006,0.0003,0.0,0.0302,0.0,5
-0.026,0.039,0.0028,-0.0028,-0.0033,0.0011,0.0002,0.0006,0.0,0.0313,0.0,5
-0.0169,0.0242,0.0052,0.0027,0.0005,-0.0018,0.0006,0.0003,0.0,0.02,0.0,5
-0.0399,0.0287,0.0159,0.0098,-0.007,-0.0013,0.0002,0.0005,0.0,0.0345,0.0,5
-0.0164,0.0191,-0.0047,-0.0009,-0.014,0.0026,0.0006,0.0003,0.0,0.017,0.0,5
-0.0142,0.0122,-0.0137,0.0113,-0.0047,-0.0036,0.0002,0.0005,0.0,0.0155,0.0,5
-0.0322,0.0384,0.0008,0.0049,-0.0029,-0.0005,0.0006,0.0004,0.0,0.0334,0.0,5
-0.0303,0.0324,0.008,0.0077,-0.0068,0.0008,0.0002,0.0005,0.0,0.03,0.0,5
-0.0219,0.0658,0.0134,0.0176,0.0071,-0.0054,0.0006,0.0003,0.0,0.0471,0.0,5
0.1368,0.1286,-0.0669,0.0124,-0.0054,-0.0043,0.0002,0.0005,0.0,0.1329,0.0,5
0.763,0.2852,-0.2812,-0.0101,-0.0097,-0.0417,0.0006,0.0003,0.0,0.5745,0.0,5
1.0,0.1962,-0.2629,-0.0608,0.0682,0.0567,0.0002,0.0005,0.0,0.7016,0.0,5
0.2977,-0.291,-0.1431,-0.041,-0.1541,0.1648,0.0006,0.0003,0.0,0.2935,0.0,5
-0.3206,-0.4082,0.2196,-0.0767,0.1464,-0.1232,0.0002,0.0005,0.0,0.3757,0.0,5
-0.9833,0.429,0.2349,0.1686,0.2494,-0.3157,0.0006,0.0005,0.0,0.7321,0.0,5
-0.7079,0.3264,0.029,0.0641,-0.0672,0.0904,0.0002,0.0005,0.0,0.5201,0.0,5
-0.3363,-0.2069,-0.0823,-0.2642,-0.0504,0.1872,0.0005,0.0004,0.0,0.2689,0.0,5
-0.0657,-0.499,-0.0951,-0.1137,-0.0494,0.0826,0.0002,0.0005,0.0,0.3415,0.0,5
0.0433,-0.3188,-0.1351,0.0422,-0.0537,-0.0242,0.0005,0.0004,0.0,0.2326,0.0,5
0.0166,-0.0948,-0.073,0.0453,-0.0155,-0.0614,0.0002,0.0005,0.0,0.0806,0.0,5
-0.038,0.0015,0.0091,0.0677,0.0416,-0.0909,0.0005,0.0004,0.0,0.0261,0.0,5
-0.1062,0.109,0.1153,0.0466,0.0527,-0.0796,0.0003,0.0005,0.0,0.1273,0.0,5
-0.1166,0.1205,0.143,0.0238,-0.0098,-0.0405,0.0005,0.0004,0.0,0.1469,0.0,5
-0.0132,0.0761,0.0362,0.0374,-0.0253,-0.0461,0.0003,0.0005,0.0,0.0569,0.0,5
0.0237,0.084,-0.0268,0.0232,-0.005,-0.0385,0.0004,0.0004,0.0,0.0609,0.0,5
0.0384,0.0717,-0.0477,-0.0079,0.006,-0.0316,0.0003,0.0005,0.0,0.0628,0.0,5
0.0365,0.0656,-0.0311,-0.006,0.0117,-0.025,0.0004,0.0004,0.0,0.0541,0.0,5
-0.0471,0.0251,-0.0227,0.0022,-0.0055,-0.0065,0.0002,0.0005,0.0,0.0387,1.0,5
-0.0453,0.0214,-0.0185,0.009,0.0016,-0.0094,0.0006,0.0003,0.0,0.0356,1.0,5
-0.0617,0.0484,-0.0065,0.0052,-0.0002,-0.0063,0.0002,0.0005,0.0,0.0524,1.0,5
-0.052,0.0279,-0.013,-0.0032,-0.0019,-0.0002,0.0005,0.0003,0.0,0.0403,1.0,5
-0.0473,0.0192,-0.0096,0.009,0.0016,-0.0036,0.0002,0.0005,0.0,0.0346,1.0,5
