accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
-0.2151,0.1358,0.0681,-0.0061,-0.0086,-0.0099,0.0005,0.0003,0.0,0.1756,41.0,1
-0.2063,0.1199,0.0648,-0.0046,-0.0143,-0.0043,0.0011,0.0001,0.0,0.1649,41.0,1
-0.2115,0.1203,0.062,0.0032,-0.0118,-0.0036,0.0004,0.0003,0.0,0.1674,41.0,1
-0.2115,0.1253,0.0639,0.004,-0.0139,-0.0047,0.0012,0.0001,0.0,0.1693,41.0,1
-0.211,0.1295,0.0578,0.0019,-0.0153,-0.0036,0.0004,0.0003,0.0,0.1695,41.0,1
-0.2243,0.1231,0.0708,0.0035,-0.0086,0.0021,0.0012,0.0001,0.0,0.177,41.0,1
-0.2238,0.1204,0.0623,-0.0015,-0.0149,0.0084,0.0004,0.0003,0.0,0.1744,41.0,1
-0.21,0.1103,0.0562,0.0071,-0.019,0.0094,0.0012,0.0001,0.0,0.1625,41.0,1
-0.2057,0.1081,0.0477,0.0062,-0.014,0.0065,0.0003,0.0002,0.0,0.1581,41.0,1
-0.2022,0.1182,0.0522,0.0038,-0.0091,0.005,0.0012,0.0001,0.0,0.16,41.0,1
-0.2181,0.1184,0.0648,0.0057,-0.0108,0.0077,0.0003,0.0003,0.0,0.171,41.0,1
-0.2173,0.1179,0.0682,0.0028,-0.0195,0.0138,0.0013,0.0001,0.0,0.171,41.0,1
-0.2027,0.1089,0.0575,0.0216,-0.0071,0.0282,0.0003,0.0003,0.0,0.1581,41.0,1
-0.219,0.1169,0.0553,0.0136,-0.0197,0.0333,0.5352,0.0002,0.0,0.1696,41.0,1
-0.1919,0.1054,0.0446,-0.0215,-0.0329,0.0243,1.0,0.0003,0.0,0.149,41.0,1
-0.1963,0.0667,0.0621,0.0125,-0.0076,0.0258,1.0,0.0002,0.0,0.1443,41.0,1
-0.2287,0.1299,0.0837,0.0192,-0.01,0.0102,1.0,0.0002,0.0,0.184,41.0,1
-0.1972,0.0902,0.0737,0.0213,-0.0271,0.0056,0.938,0.0002,0.0,0.1527,41.0,1
-0.1857,0.084,0.0732,0.0409,-0.0223,-0.0121,0.6388,0.0002,0.0,0.1444,41.0,1
-0.1779,0.1615,0.0329,0.0058,-0.025,-0.0116,0.5207,0.0002,0.0,0.1617,41.0,1
-0.1642,0.1337,0.0298,-0.0242,-0.0077,-0.0198,0.1757,0.0002,0.0,0.1426,41.0,1
-0.1877,0.1173,0.0403,-0.0142,0.0169,-0.0159,0.001,0.0002,0.0,0.15,41.0,1
-0.2177,0.1277,0.0475,-0.0114,0.0148,-0.0089,0.0006,0.0002,0.0,0.1712,41.0,1
-0.213,0.1148,0.045,-0.0202,0.0097,-0.0103,0.001,0.0002,0.0,0.1641,41.0,1
-0.2032,0.1084,0.0384,-0.0181,0.0117,-0.0128,0.0006,0.0002,0.0,0.1556,41.0,1
-0.2054,0.1005,0.0462,-0.013,0.0097,-0.0186,0.0008,0.0003,0.0,0.1555,41.0,1
-0.2237,0.0919,0.0479,0.0113,0.0125,-0.0184,0.0007,0.0002,0.0,0.1644,41.0,1
-0.2378,0.1574,0.0622,-0.0012,-0.0018,-0.0212,0.0008,0.0003,0.0,0.1946,41.0,1
-0.2228,0.1399,0.0687,-0.0283,-0.0178,-0.0122,0.0007,0.0001,0.0,0.1813,41.0,1
-0.2067,0.1104,0.0619,-0.0049,-0.0017,-0.0107,0.0008,0.0003,0.0,0.1616,41.0,1
-0.2134,0.1243,0.075,0.0026,-0.0141,0.007,0.0008,0.0002,0.0,0.1721,42.0,1
-0.2123,0.126,0.0598,0.0046,-0.0132,0.0037,0.0008,0.0002,0.0,0.1694,42.0,1
-0.2165,0.1298,0.0577,0.0017,-0.0133,-0.0005,0.0008,0.0002,0.0,0.1726,42.0,1
-0.2286,0.1306,0.0576,0.0001,-0.0127,0.0006,0.0009,0.0002,0.0,0.1797,42.0,1
-0.2303,0.1319,0.0527,0.0014,-0.014,0.0033,0.0008,0.0002,0.0,0.1804,42.0,1
-0.2244,0.1281,0.0531,-0.0035,-0.0175,0.0073,0.0009,0.0002,0.0,0.1758,42.0,1
-0.2185,0.1139,0.0484,-0.0008,-0.0135,0.0054,0.0008,0.0002,0.0,0.1674,42.0,1
-0.2183,0.1236,0.0481,0.0027,-0.0128,0.0024,0.0008,0.0002,0.0,0.1703,42.0,1
-0.2152,0.1288,0.05,-0.0033,-0.0141,-0.0009,0.0008,0.0002,0.0,0.1705,42.0,1
-0.2193,0.1221,0.0534,0.0022,-0.0107,-0.0008,0.0009,0.0002,0.0,0.1711,42.0,1
-0.2207,0.1355,0.0523,-0.0007,-0.0099,0.002,0.0008,0.0002,0.0,0.1762,42.0,1
-0.2198,0.1281,0.0526,-0.005,-0.0133,0.0053,0.0008,0.0002,0.0,0.1732,42.0,1
-0.2113,0.1264,0.0506,0.0022,-0.0051,0.009,0.0009,0.0002,0.0,0.1676,42.0,1
-0.2283,0.1494,0.06,0.0131,0.0041,0.0312,0.0095,0.0002,0.0,0.1863,42.0,1
-0.2677,0.1298,0.0877,-0.0095,-0.0463,0.0335,0.8006,0.0002,0.0,0.2068,42.0,1
-0.1833,0.0929,0.0456,0.0032,-0.0492,0.0101,1.0,0.0002,0.0,0.1403,42.0,1
-0.1964,0.1303,0.029,0.0056,-0.0188,0.0084,1.0,0.0002,0.0,0.1583,42.0,1
-0.2034,0.1094,0.0295,-0.01,-0.017,-0.003,1.0,0.0002,0.0,0.1552,42.0,1
-0.1958,0.0946,0.0532,0.0136,-0.0137,-0.0094,0.9973,0.0002,0.0,0.1493,42.0,1
-0.208,0.1305,0.0423,0.0236,-0.0034,-0.0006,0.6209,0.0002,0.0,0.1661,42.0,1
-0.2105,0.148,0.0622,0.0079,-0.0019,-0.0131,0.5143,0.0002,0.0,0.1765,42.0,1
-0.2088,0.1523,0.0562,-0.0033,-0.0054,-0.0073,0.0404,0.0002,0.0,0.1763,42.0,1
-0.1993,0.1338,0.045,-0.0109,-0.0017,-0.0051,0.0009,0.0002,0.0,0.1628,42.0,1
-0.2069,0.1315,0.0501,-0.005,0.0044,-0.0066,0.0007,0.0002,0.0,0.1668,42.0,1
-0.2079,0.1302,0.0503,-0.0018,-0.002,-0.0056,0.0009,0.0002,0.0,0.1669,42.0,1
-0.2205,0.1397,0.0583,-0.0118,-0.0042,-0.0086,0.0008,0.0002,0.0,0.1783,42.0,1
-0.231,0.123,0.0628,-0.0088,-0.0051,-0.0081,0.0008,0.0002,0.0,0.1794,42.0,1
-0.2334,0.1317,0.0652,-0.0054,-0.0139,-0.0055,0.0007,0.0002,0.0,0.1839,42.0,1
-0.2173,0.1253,0.0551,-0.0037,-0.0157,-0.0027,0.0009,0.0002,0.0,0.1712,42.0,1
-0.2156,0.12,0.0501,-0.0023,-0.0109,-0.0021,0.0008,0.0002,0.0,0.1679,42.0,1
-0.185,0.1241,0.0528,-0.0009,-0.0119,0.0005,0.0009,0.0002,0.0,0.1526,43.0,1
-0.1869,0.1288,0.0421,0.0016,-0.0111,0.0018,0.0009,0.0002,0.0,0.1539,43.0,1
-0.1903,0.1297,0.0454,0.0007,-0.0114,0.002,0.0009,0.0002,0.0,0.1565,43.0,1
-0.1846,0.125,0.0483,0.0013,-0.0126,0.0011,0.0009,0.0002,0.0,0.1521,43.0,1
-0.188,0.135,0.0475,0.0001,-0.01,-0.0004,0.0008,0.0002,0.0,0.1575,43.0,1
-0.1957,0.1271,0.0506,-0.0006,-0.0133,-0.0001,0.0009,0.0002,0.0,0.1592,43.0,1
-0.185,0.1271,0.0446,0.0006,-0.0121,0.0012,0.0009,0.0002,0.0,0.1526,43.0,1
-0.1867,0.1293,0.0501,0.0031,-0.0123,0.0012,0.0009,0.0002,0.0,0.155,43.0,1
-0.1938,0.13,0.0494,0.0032,-0.0111,0.0014,0.0009,0.0002,0.0,0.159,43.0,1
-0.1861,0.133,0.0439,0.003,-0.0135,0.0019,0.0009,0.0003,0.0,0.1552,43.0,1
-0.1891,0.1316,0.0451,0.002,-0.0118,0.0009,0.0009,0.0002,0.0,0.1565,43.0,1
-0.1969,0.1245,0.063,0.0161,-0.0064,0.0086,0.0009,0.0002,0.0,0.1609,43.0,1
-0.1888,0.1337,0.041,0.0304,-0.0095,0.017,0.001,0.0002,0.0,0.1566,43.0,1
-0.1977,0.1273,0.0631,0.0388,-0.0093,0.0263,0.3078,0.0003,0.0,0.1623,43.0,1
-0.2096,0.1361,0.0522,0.0639,-0.0301,0.0379,0.7639,0.0002,0.0,0.1702,43.0,1
-0.1604,0.1419,0.0066,0.0483,-0.0336,0.0199,1.0,0.0003,0.0,0.1428,43.0,1
-0.1601,0.1858,-0.0005,0.0268,-0.0136,0.0143,1.0,0.0002,0.0,0.1635,43.0,1
-0.1761,0.1671,0.0113,0.0036,-0.0034,0.0093,1.0,0.0002,0.0,0.162,43.0,1
-0.1731,0.1371,0.0341,-0.0039,-0.0089,0.0014,1.0,0.0002,0.0,0.149,43.0,1
-0.1878,0.1446,0.0444,0.0022,-0.0133,-0.0039,0.863,0.0002,0.0,0.1607,43.0,1
-0.1814,0.1488,0.0121,0.0043,-0.0242,-0.0142,0.6211,0.0002,0.0,0.1567,43.0,1
-0.1678,0.1653,0.0095,-0.0148,-0.0141,-0.0162,0.5138,0.0002,0.0,0.1571,43.0,1
-0.1797,0.1526,0.0307,-0.0248,-0.0064,-0.016,0.1677,0.0002,0.0,0.1585,43.0,1
-0.1888,0.1409,0.0544,-0.0099,-0.0097,-0.0059,0.0008,0.0002,0.0,0.1612,43.0,1
-0.1891,0.1424,0.0416,0.001,-0.0131,0.0028,0.0009,0.0002,0.0,0.1602,43.0,1
